query_order,rank,query_pair_id,candidate_pair_id,is_positive,visual_score,normalized_sw_score,mean_path_cosine,joint_coverage,line1_coverage,line2_coverage,path_steps,transcript_min_coverage,transcript_dice,transcript_iou,query_image,candidate_image
1,1,pair_000007,pair_000007,1,0.7793179872142557,1.1248486242561697,0.7349921540521523,0.6928203230275509,0.8,0.6,68,0.9090909090909091,0.8695652173913043,0.7692307692307693,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000007/A/linesImages/line_02.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000007/B/linesImages/line_04.png
1,2,pair_000007,pair_000058,0,0.4702976000841741,0.5879013959099265,0.6052746340574231,0.7999599989999501,0.808,0.792,64,0.0,0.0,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000007/A/linesImages/line_02.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000058/B/linesImages/line_08.png
1,3,pair_000007,pair_000015,0,0.4267336832684317,0.5503827021672175,0.6215244042978156,0.7753399254520562,0.808,0.744,64,0.0,0.0,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000007/A/linesImages/line_02.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000015/B/linesImages/line_14.png
1,4,pair_000007,pair_000066,0,0.39282139895294893,0.5641749932513973,0.6333243017489055,0.6962758074211685,0.808,0.6,53,0.0,0.0,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000007/A/linesImages/line_02.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000066/B/linesImages/line_06.png
1,5,pair_000007,pair_000044,0,0.3864444983528558,0.5239473871824121,0.5160603325418902,0.737563556583431,0.8,0.68,66,0.0,0.0,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000007/A/linesImages/line_02.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000044/B/linesImages/line_13.png
1,6,pair_000007,pair_000020,0,0.3736812046942489,0.5769323869185015,0.5541287459157132,0.6477036359323607,0.76,0.552,54,0.0,0.0,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000007/A/linesImages/line_02.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000020/B/linesImages/line_04.png
1,7,pair_000007,pair_000050,0,0.3638942939704427,0.5278822142502357,0.5432443725073646,0.6893475175845635,0.792,0.6,58,0.0,0.0,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000007/A/linesImages/line_02.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000050/B/linesImages/line_01.png
1,8,pair_000007,pair_000006,0,0.3467625807838348,0.5073186282453865,0.4936415088412009,0.6835202996254025,0.8,0.584,57,0.0,0.0,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000007/A/linesImages/line_02.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000006/B/linesImages/line_07.png
1,9,pair_000007,pair_000069,0,0.3465682185953956,0.4698825145330955,0.5123557974102682,0.737563556583431,0.8,0.68,58,0.0,0.0,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000007/A/linesImages/line_02.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000069/B/linesImages/line_10.png
1,10,pair_000007,pair_000010,0,0.3409984485678582,0.541335578437324,0.5318838094233298,0.6299206299209449,0.8,0.496,51,0.0,0.0,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000007/A/linesImages/line_02.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000010/B/linesImages/line_07.png
